Particulars,Unit,Unit Cost,Stock/Property #,UMIS Account Code and Account Title,UACS Code - Accounting,Account Title - Accounting,UACS Code - Budget,Account Title - Budget,Account Group,Budget Category,PPMP?
Ice water bag,UNIT,292.31,53MED-90,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ice water cellophane (3x16),PACK,72.48,OTS-085,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Insect Killer; Multi-insect Killer; 500ml,TUBE,132,CE-051,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
"Instrument tray; stainless; 8'x12""",PIECE,"5,144.60",04LE-403,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
"Instrument tray; stainless; 8'x3""",PIECE,"1,929.24",04LE-404,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Insulated cooler,PIECE,"6,600.00",OS-319,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Interfolded Kitchen/ Paper Towel (tissue),PACK,292.82,CE-285,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Intrance cup; 3-1/2 inches,PIECE,97.44,EM-099,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Irish Coffee Glass,DOZEN,"1,500.00",OS-450,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ivomec Injectable 100 ml,BOTTLE,"2,090.00",53MED,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Jacket with Patch,PIECE,700,OTS-285,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Jacket with print (assorted sizes),PIECE,"1,070.00",OTS-362,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Jar (5gal) with faucet,PIECE,389.74,04LE-409,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kettle,PIECE,885.79,29KU-10,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kettle ( Brewista Variable Kettle w/ 1.2 Liter; stainless),UNIT,"8,000.00",OS-435,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kettle (Electric; Heavy Duty; Stainless; 1.2 - 1.5 Liters),UNIT,"10,000.00",OTS-508,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
"Kitchen Boning Knife 6""",UNIT,"1,240.10",04LE-411,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Items COFFEE MUGS,PIECE,112.74,OTS-898,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Items: COFFEE CUPS AND SAUCERS,SET,"1,288.41",29KU,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Items: COFFEE MUGS,PIECE,102.49,29KU,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Items: SMALL SPOONS/STIRRER (12 spoons in 1 set),SET,585.64,29KU,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Knife,PIECE,165,29KU,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Knife (stainless steel-small),UNIT,363.19,04LE-412,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Knives5 Piece Knife Set High Carbon Stainless Steel Kitchen Knife Set ,SET,"1,320.00",29KU-49,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Mats 2in1 Non Slip Water Oil Absorption Carpet,SET,801,51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Organizer Dish Drainer Rack,PIECE,"2,500.00",51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kitchen Storage Holder Box Drainer Bowl Tableware Plate Drying Rack Home Shelf with Lid Dinnerware Organizer;,PIECE,"2,750.00",KU-56,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Knife,PIECE,165,29KU,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
LED Alarm Clock Watch Table Electronic USB/AAA,piece,"1,240.10",53MED-198,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
LED Exit signage,UNIT,"1,288.41",BFP-06,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
LIPAD: Internet Load,SUBSCRIPTION,"4,719.00",OTS-623,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
LIQUID HAND SOAP; 500mL,BOTTLE,42.95,73101612-HS-L01,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
LPG tank with content and Accessories,UNIT,"5,668.99",04LE-444,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Labelling materials,UNIT,"2,000.00",OTS-1053,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Labelling materials,PIECE,"2,000.00",04LE-124,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Laboratory supplies (Office / kitchen/ cleaning supplies),LOT,"5,556.27",51OE-130,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ladle Set (Big)Stainless Steel; L-81cm,PIECE,"1,500.00",29KU-34,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ladle Set (Regular)Stainless Steel; L-34-36cm; W-8-11cm,SET,"1,500.00",29KU-35,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ladles,PIECE,550,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Laminating Film (70x100mm)100s/box,BOX,"1,430.00",OST,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Laminating Film (70x100mm)100s/box,BOX,"1,430.00",OTS,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Laminating Film ;65mmx95mmx250mic(100s),BOX,330,OS-234,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Laminating Film A4,BOX,"1,597.20",OS,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lard,UNIT,60.5,OTS-1054,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
"Large Evaporating dish/ Drying pan:  4"" high; 8' diam",PIECE,"1,233.09",04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Large Stainless Steel Bowl,UNIT,"2,657.35",04LE-429,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Large umberlla,PIECE,"1,200.00",OTS,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Large umbrella,PIECE,"1,320.00",OTS-1105,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Laser Label 5/12 Cross Lines Laser Level /Self-Leveling /360 Rotatable Indoor/Outdoor Green Radius Alternating,PIECE,"2,200.00",51OE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Latte Cups (for latte art) Large Cups & Saucer),PACK,644.2,TS-062,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lawnmower Blade (for Tractor),PIECE,"8,250.00",18GT,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lighter/matches,PIECE,161.05,OTS-093,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Line alfa gena cloth green,METER,55,OS-602,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Linen alfa gena- cloth blue,METER,55,OS-601,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Linen alfa-gena cloth red,METER,55,OS-010,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Linoleum; Flooring rubberized; High Quality,METER,165,OTS-1100,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Liquefied petroleum gas (LPG),UNIT,"1,320.00",04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Liquid Antibacterial Hand Soap; 1 gallon Floral scented,GALLON,"2,657.35",CE-053,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Liquid Measuring cup/urn,UNIT,177.16,04LE-440,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Liquid Sosa; 1 litter,BOTTLE,165,CE-060,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Liquified petroluem gas refill,TANK,"1,610.51",AG-164,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Loaf Pan ; 9x5x21/2,PIECE,128.84,OTS-285,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Loaf pan ; medium,PIECE,275,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Loaf pan ;small,PIECE,165,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Loaf pan; big,PIECE,440,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lumba FLag,PIECE,300,OTS-310,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
MU-IN206,UNIT,"2,200.00",MU-IN2007,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Magnesium Sulfate 1kg,KG,"2,722.50",LES-008,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Magnetic Switch 15A,PIECE,"3,852.68",28CA,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mask (Tela),PIECE,43.92,MED-179,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Materials for Embroidery,SET,"273,028.04",OTS-098,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Matica Technologies PVC CardsØISO Standard Size: CR80 x .76mmØUltra High Definition CoatingØGenuine Matica Technologies250 Cards / Box,BOX,"2,303.03",51OE-135,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring Cup,SET,"1,771.56",04LE-458,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring Cup Plastic (liquid),PIECE,88.58,04LE-459,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring Cup plastic (solid),PIECE,354.31,04LE-460,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring Cups & Spoon,SET,87.85,OTS-282,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring Spoon set,SET,292.31,04LE-461,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring Spoons,PIECE,161.21,04LE-462,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring cup (solid),SET,275,04LE-865,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring cup; liquid (250ml & 500ml),PIECE,330,04LE-854,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Measuring tape; 50 mtrs; 165ft; heavy duty,PIECE,876.93,CP-111,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Meat Slicer; small,PIECE,"3,543.12",04LE-464,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Meat Tenderizer; 48 Blades Needle Meat Tenderizer Stainless Steel Cutter Meat Beaf Steak Mallet Meat Tenderizer Hammer Pounder Cooking Tools;heavy duty,UNIT,"2,081.59",04LE-465,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Meat Tenderizer; medium,PIECE,531.47,04LE-466,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Medical Apron (grade 4),PIECE,"1,594.41",MED-096,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Medical Apron (ready -made ; washable),piece,974.37,MED-097,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
"Medical and dental Form(hard paper;4 colors;12"" Hx 18"" L;C25 200;croam)",PIECE,53.14,MED-095,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mesh net,METER,220,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Metal Tray( Excavated soil):stainless steel or aluminum rectangular tray: 440x264x71cm,PIECE,"2,482.96",04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Meter stick,PIECE,354.31,04LE-474,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mgt. & Officiating Officials Sublimation Jacket (free size),PIECE,800,OTS-928,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Microcentrifuge tube 2 mL,PACK,"1,650.00",04LE-891,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Milk Pitcher ( 20 oz),UNIT,"1,155.00",OS-445,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Milk Pitcher ( 32-35 oz),UNIT,"1,430.00",OS-446,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Milkfish (bangus),KILO,198,OTS-582,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Milkfish(Bangus),UNIT,198,OTS-1056,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mini Board Books Gift Pack - Board Book for Kids,COPY,328.9,11BK-544,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Miter Box: adjustable.22.5 deg; 45 deg; 90 deg; base and cam pins secured. 12/14 inch; weight 340/540g,PIECE,"1,194.66",04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mixing Bowl,PIECE,242,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mixing Pan; stainless steel capacity =20L,PIECE,500,04LE,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mixing bowl (6pcs per set),SET,275,OTS-806,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mixing bowl( 6pcs per set),SET,275,04LE-864,1040499000-Other Supplies and Materials Inventory - 00099-Others,1040499000,Other Supplies and Materials Inventory,5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
